Unique Key Code,Country,Supplier Code,Supplier Name,Parent Company,VBS Code,VBS Description,GPO Category,Category,Main Category,ACT/LE Spend $ Jan,ACT/LE Spend $ Feb,ACT/LE Spend $ Mar,ACT/LE Spend $ Apr,ACT/LE Spend $ May,ACT/LE Spend $ Jun,ACT/LE Spend $ Jul,ACT/LE Spend $ Aug,ACT/LE Spend $ Sep,ACT/LE Spend $ Oct,ACT/LE Spend $ Nov,ACT/LE Spend $ Dec,ACT/LE Spend $ FY,ACT/LE WAPT Jan,ACT/LE WAPT Feb,ACT/LE WAPT Mar,ACT/LE WAPT Apr,ACT/LE WAPT May,ACT/LE WAPT Jun,ACT/LE WAPT Jul,ACT/LE WAPT Aug,ACT/LE WAPT Sep,ACT/LE WAPT Oct,ACT/LE WAPT Nov,ACT/LE WAPT Dec,Budget WAPT Jan Round 1,Budget WAPT Feb Round 1,Budget WAPT Mar Round 1,Budget WAPT Apr Round 1,Budget WAPT May Round 1,Budget WAPT Jun Round 1,Budget WAPT Jul Round 1,Budget WAPT Aug Round 1,Budget WAPT Sep Round 1,Budget WAPT Oct Round 1,Budget WAPT Nov Round 1,Budget WAPT Dec Round 1,Final BU Spend Jan Round 1,Final BU Spend Feb Round 1,Final BU Spend Mar Round 1,Final BU Spend Apr Round 1,Final BU Spend May Round 1,Final BU Spend Jun Round 1,Final BU Spend Jul Round 1,Final BU Spend Aug Round 1,Final BU Spend Sep Round 1,Final BU Spend Oct Round 1,Final BU Spend Nov Round 1,Final BU Spend Dec Round 1
Brazil334121_S4,Brazil,334121,PATRICIA RODRIGUES DE BARROS,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,130,0,0,0,0,0,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,130.0006,1,1,1,1,1,1,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,130,0,0,0,0,0,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04,1.00E-04
Brazil334094_S4,Brazil,334094,"PERFILOR S/A CONSTRUCOES,",,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,0,0,0,0,0,0,3387.49,3137.32,3103.35,3444.75,2804.76,4654.01,20531.68,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,0,0,0,0,0,0,3387.49,3137.32,3103.35,3444.75,2804.76,4654.01
Brazil310216_S4,Brazil,310216,ANDRE LUIZ ROSSINI EXTINTORES,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,0,0,0,0,0,0,114.61,111.94,111.57,115.23,108.38,128.16,689.89,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,0,0,0,0,0,0,114.61,111.94,111.57,115.23,108.38,128.16
Brazil328755_S4,Brazil,328755,KROMA EQUIPAMENTOS ESPECIAIS LTDA.,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,0,0,0,0,0,0,2300.09782,1685.9983,1670.1983,1680.95,1383.21,2243.53,10963.98442,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,2300.09782,1685.9983,1670.1983,1680.95,1383.21,2243.53
Brazil312624_S4,Brazil,312624,AGISA CONTAINNERS LTDA,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,0,0,21019,1710,1710,1710,799.24,743.31,735.72,812.05,668.95,1082.42,30990.69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,21019,1710,1710,1710,799.24,743.31,735.72,812.05,668.95,1082.42
Brazil328567_S4,Brazil,328567,MARIA DUARTE MARTINS,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,0,0,0,0,0,0,1080.29782,556.2882998,552.7182998,440.53,373.24,567.66,3570.73442,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,0,0,0,0,0,0,1080.29782,556.2882998,552.7182998,440.53,373.24,567.66
Brazil324662_S4,Brazil,324662,SACKS SOLUCOES INOVADORAS LTDA,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,0,0,1465,0,8987,0,6244.00782,5338.6383,5283.2883,5691.51,4648.66,7661.98,45320.08442,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,0,0,1465,0,8987,0,6244.00782,5338.6383,5283.2883,5691.51,4648.66,7661.98
Brazil307077_S4,Brazil,307077,E G A INSTALACOES ELETRICAS E PPCI,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,0,6433,225,1470,3166,1133,336.61,317.53,314.94,340.97,292.18,433.15,14462.38,8.75,8.75,1,6.044890369,8.75,7.613604206,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75,0,6433,225,1470,3166,1133,336.61,317.53,314.94,340.97,292.18,433.15
Brazil333785_S4,Brazil,333785,COLOR TINTAS DISTRIBUIDORA LTDA,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,0,0,0,0,0,0,41.86,41.86,41.86,41.86,41.86,41.86,251.16,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,41.86,41.86,41.86,41.86,41.86,41.86
Brazil291130_S4,Brazil,291130,KINGSPAN ISOESTE CONSTRUTIVOS,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,0,0,0,0,0,0,8.17,7.57,7.48,8.31,6.76,11.22,49.51,157.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,0,0,0,0,0,0,8.17,7.57,7.48,8.31,6.76,11.22
Brazil244294_S4,Brazil,244294,CHIMU ARQUITETURA  ENGENHARIA  E,,1002,Buildings & Facilities_1002,MAINTENANCE,CAPEX,INDIRECT,0,4103,4372,4103,4103,4103,2546.02782,1907.9783,1888.9183,1932.35,1573.35,2610.7,33243.32442,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,0,4103,4372,4103,4103,4103,2546.02782,1907.9783,1888.9183,1932.35,1573.35,2610.7
